checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-19T09:16:58.953497+00:00,Désiré Doué,Paris Saint-Germain,Right Winger,90000000,Désiré Doué,Stade Brestois 29 - Paris Saint-Germain,"Issued, Signed",372,427,2026-09-22T14:00:00Z,desire-doue-b0vFiS8ieE2Pi2WUMCYciA,https://mws.com/us/product/desire-doue-b0vFiS8ieE2Pi2WUMCYciA
2026-09-19T09:16:58.953497+00:00,Lucas Beraldo,Paris Saint-Germain,Centre-Back,25000000,Lucas Beraldo,Stade Brestois 29 - Paris Saint-Germain,"Issued, Signed",199,229,2026-09-22T14:00:00Z,lucas-beraldo-FmvicIHl90OI5434CSt5fw,https://mws.com/us/product/lucas-beraldo-FmvicIHl90OI5434CSt5fw
2026-09-19T09:16:58.953497+00:00,Warren Zaïre-Emery,Paris Saint-Germain,Central Midfield,55000000,Warren Zaïre-Emery,Stade Brestois 29 - Paris Saint-Germain,"Worn, Signed",621,713,2026-09-22T14:00:00Z,warren-zaire-emery-aYuKfMuQpUCAmN2dVX-p6Q,https://mws.com/us/product/warren-zaire-emery-aYuKfMuQpUCAmN2dVX-p6Q
2026-09-19T09:16:58.953497+00:00,Franco Mastantuono,CA River Plate,Right Winger,50000000,Franco Mastantuono,Venezia FC - ACF Fiorentina,"Worn, Signed",2451,2815,2026-09-22T16:30:00Z,franco-mastantuono-sUDXceaFT0Ca5yg9Xs_70w,https://mws.com/us/product/franco-mastantuono-sUDXceaFT0Ca5yg9Xs_70w
2026-09-19T09:16:58.953497+00:00,Wilfried Gnonto,Leeds United,Right Winger,22000000,Wilfried Gnonto,Venezia FC - ACF Fiorentina,"Worn, Signed",140,161,2026-09-22T16:30:00Z,wilfried-gnonto-01Mm2sSRbkWZ2QduApucdA,https://mws.com/us/product/wilfried-gnonto-01Mm2sSRbkWZ2QduApucdA
2026-09-19T09:16:58.953497+00:00,El Hadji Malick Diouf,SK Slavia Prague,Left-Back,28000000,El Hadji Malick Diouf,Reading - Brentford,"Worn, Signed",95,109,2026-09-22T19:00:00Z,el-hadji-malick-diouf--hzp7vJR4EG4V6lkxixk2A,https://mws.com/us/product/el-hadji-malick-diouf--hzp7vJR4EG4V6lkxixk2A
2026-09-19T09:16:58.953497+00:00,William Gomes,FC Porto,Right Winger,20000000,William Gomes,Casa Pia AC - FC Porto,"Worn, Signed",110,127,2026-09-23T00:00:00Z,william-gomes-MuSZoRkhy0SPQ6o3NZxPOA,https://mws.com/us/product/william-gomes-MuSZoRkhy0SPQ6o3NZxPOA
2026-09-19T09:16:58.953497+00:00,Archie Gray,Tottenham Hotspur,Right-Back,38000000,Archie Gray,Tottenham Hotspur - Everton,"Worn, Signed",221,254,2026-09-23T16:30:00Z,archie-gray-mSeObCIJVUaB8QK-ikeO8Q,https://mws.com/us/product/archie-gray-mSeObCIJVUaB8QK-ikeO8Q
2026-09-19T09:16:58.953497+00:00,Lucas Bergvall,Tottenham Hotspur,Central Midfield,40000000,Lucas Bergvall,Tottenham Hotspur - Everton,"Issued, Signed",293,339,2026-09-23T16:30:00Z,lucas-bergvall-AUzeSyCAJE-mtF0OnVZawA,https://mws.com/us/product/lucas-bergvall-AUzeSyCAJE-mtF0OnVZawA
2026-09-19T09:16:58.953497+00:00,Mateus Fernandes,Southampton FC,Central Midfield,32000000,Mateus Fernandes,Tottenham Hotspur - Everton,"Worn, Signed",291,334,2026-09-23T16:30:00Z,mateus-fernandes-wuXXRGElMU2TxXn0oKVQZQ,https://mws.com/us/product/mateus-fernandes-wuXXRGElMU2TxXn0oKVQZQ
2026-09-19T09:16:58.953497+00:00,Mathys Tel,Tottenham Hotspur,Left Winger,40000000,Mathys Tel,Tottenham Hotspur - Everton,"Worn, Signed",342,392,2026-09-23T16:30:00Z,mathys-tel-0XmSInpcj0e2IOmUgQ6unQ,https://mws.com/us/product/mathys-tel-0XmSInpcj0e2IOmUgQ6unQ
2026-09-19T09:16:58.953497+00:00,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,Estêvão,Chelsea - Hull City,"Worn, Signed",963,1104,2026-09-23T17:00:00Z,estevao-MQ1pyHlGpUS51PlAnoo6MA,https://mws.com/us/product/estevao-MQ1pyHlGpUS51PlAnoo6MA
2026-09-19T09:16:58.953497+00:00,Jorrel Hato,Ajax Amsterdam,Left-Back,40000000,Jorrel Hato,Chelsea - Hull City,"Worn, Signed",184,212,2026-09-23T17:00:00Z,jorrel-hato-nMwTg5cbX0mDtk6t6U9PAA,https://mws.com/us/product/jorrel-hato-nMwTg5cbX0mDtk6t6U9PAA
2026-09-19T09:16:58.953497+00:00,Levi Colwill,Chelsea FC,Centre-Back,55000000,Levi Colwill,Chelsea - Hull City,"Worn, Signed",193,221,2026-09-23T17:00:00Z,levi-colwill-vsfskrQkxkaIDDm1Dle0Gw,https://mws.com/us/product/levi-colwill-vsfskrQkxkaIDDm1Dle0Gw
2026-09-19T09:16:58.953497+00:00,Malo Gusto,Chelsea FC,Right-Back,35000000,Malo Gusto,Chelsea - Hull City,"Worn, Signed",220,253,2026-09-23T17:00:00Z,malo-gusto-w-92f6UFakawwDI2BSNzYA,https://mws.com/us/product/malo-gusto-w-92f6UFakawwDI2BSNzYA
2026-09-19T09:16:58.953497+00:00,Lucas Stassin,AS Saint-Étienne,Centre-Forward,18000000,Lucas Stassin,Sevilla FC - Valencia CF,"Worn, Signed",94,108,2026-09-23T19:00:00Z,lucas-stassin-9SZn0WJSe0OczXB3gqrCcw,https://mws.com/us/product/lucas-stassin-9SZn0WJSe0OczXB3gqrCcw
