checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-19T09:19:04.242591+00:00,William Gomes,FC Porto,Right Winger,20000000,William Gomes,Casa Pia AC - FC Porto,"Worn, Signed",110,127,2026-09-23T00:00:00Z,william-gomes-MuSZoRkhy0SPQ6o3NZxPOA,https://mws.com/us/product/william-gomes-MuSZoRkhy0SPQ6o3NZxPOA
2026-09-19T09:19:04.242591+00:00,Archie Gray,Tottenham Hotspur,Right-Back,38000000,Archie Gray,Tottenham Hotspur - Everton,"Worn, Signed",221,254,2026-09-23T16:30:00Z,archie-gray-mSeObCIJVUaB8QK-ikeO8Q,https://mws.com/us/product/archie-gray-mSeObCIJVUaB8QK-ikeO8Q
2026-09-19T09:19:04.242591+00:00,Lucas Bergvall,Tottenham Hotspur,Central Midfield,40000000,Lucas Bergvall,Tottenham Hotspur - Everton,"Issued, Signed",293,339,2026-09-23T16:30:00Z,lucas-bergvall-AUzeSyCAJE-mtF0OnVZawA,https://mws.com/us/product/lucas-bergvall-AUzeSyCAJE-mtF0OnVZawA
2026-09-19T09:19:04.242591+00:00,Mathis Amougou,Chelsea FC,Central Midfield,10000000,Mathis Amougou,FC Lorient - Toulouse FC,"Issued, Signed",109,126,2026-09-23T16:30:00Z,mathis-amougou-zKvZCxNAaEKc9unS6CGddQ,https://mws.com/us/product/mathis-amougou-zKvZCxNAaEKc9unS6CGddQ
2026-09-19T09:19:04.242591+00:00,Mathys Tel,Tottenham Hotspur,Left Winger,40000000,Mathys Tel,Tottenham Hotspur - Everton,"Worn, Signed",342,392,2026-09-23T16:30:00Z,mathys-tel-0XmSInpcj0e2IOmUgQ6unQ,https://mws.com/us/product/mathys-tel-0XmSInpcj0e2IOmUgQ6unQ
2026-09-19T09:19:04.242591+00:00,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,Estêvão,Chelsea - Hull City,"Worn, Signed",963,1104,2026-09-23T17:00:00Z,estevao-MQ1pyHlGpUS51PlAnoo6MA,https://mws.com/us/product/estevao-MQ1pyHlGpUS51PlAnoo6MA
2026-09-19T09:19:04.242591+00:00,Jorrel Hato,Ajax Amsterdam,Left-Back,40000000,Jorrel Hato,Chelsea - Hull City,"Worn, Signed",184,212,2026-09-23T17:00:00Z,jorrel-hato-nMwTg5cbX0mDtk6t6U9PAA,https://mws.com/us/product/jorrel-hato-nMwTg5cbX0mDtk6t6U9PAA
2026-09-19T09:19:04.242591+00:00,Gianluca Prestianni,SL Benfica,Right Winger,12000000,Gianluca Prestianni,SL Benfica - Gil Vicente FC,"Worn, Signed",346,402,2026-09-23T19:00:00Z,gianluca-prestianni-ldvYA8P44E-1F1YmKx4i4g,https://mws.com/us/product/gianluca-prestianni-ldvYA8P44E-1F1YmKx4i4g
2026-09-19T09:19:04.242591+00:00,Julien Duranville,Borussia Dortmund,Left Winger,8500000,Julien Duranville,RSC Anderlecht - Olympique Lyonnais,"Issued, Signed",155,178,2026-09-24T18:00:00Z,julien-duranville-4mMGCn56rkqAfzKIedu5bQ,https://mws.com/us/product/julien-duranville-4mMGCn56rkqAfzKIedu5bQ
2026-09-19T09:19:04.242591+00:00,Khalis Merah,Olympique Lyon U19,Central Midfield,8000000,Khalis Merah,RSC Anderlecht - Olympique Lyonnais,"Issued, Signed",145,167,2026-09-24T18:00:00Z,khalis-merah-Axofew7sF0acRhJP5o4TeQ,https://mws.com/us/product/khalis-merah-Axofew7sF0acRhJP5o4TeQ
