rank,name,team,position,market_value_eur,age,source_url,list_source_url
60,Ibrahim Mbaye,Paris Saint-Germain,Right Winger,25000000,16,https://www.transfermarkt.com/ibrahim-mbaye/profil/spieler/1185888,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
61,Conrad Harder,Sporting CP,Centre-Forward,24000000,19,https://www.transfermarkt.com/conrad-harder/profil/spieler/807386,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
62,Jack Hinshelwood,Brighton & Hove Albion,Defensive Midfield,24000000,19,https://www.transfermarkt.com/jack-hinshelwood/profil/spieler/867688,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
63,Chemsdine Talbi,Club Brugge KV,Right Winger,22000000,19,https://www.transfermarkt.com/chemsdine-talbi/profil/spieler/743384,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
64,Kees Smit,AZ Alkmaar,Attacking Midfield,22000000,18,https://www.transfermarkt.com/kees-smit/profil/spieler/859035,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
65,Roger Fernandes,SC Braga,Right Winger,22000000,19,https://www.transfermarkt.com/roger-fernandes/profil/spieler/906329,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
66,Lewis Miley,Newcastle United,Central Midfield,22000000,18,https://www.transfermarkt.com/lewis-miley/profil/spieler/922769,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
67,Tyrique George,Chelsea FC,Left Winger,22000000,18,https://www.transfermarkt.com/tyrique-george/profil/spieler/936874,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
68,Stefanos Tzimas,1.FC Nuremberg,Centre-Forward,22000000,18,https://www.transfermarkt.com/stefanos-tzimas/profil/spieler/950091,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
69,Junior Kroupi,FC Lorient,Centre-Forward,22000000,18,https://www.transfermarkt.com/junior-kroupi/profil/spieler/955357,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
70,Christian Kofane,Albacete Balompié,Centre-Forward,22000000,18,https://www.transfermarkt.com/christian-kofane/profil/spieler/1364454,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
71,Matvey Kislyak,CSKA Moscow,Central Midfield,20000000,19,https://www.transfermarkt.com/matvey-kislyak/profil/spieler/651580,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
72,Dário Essugo,UD Las Palmas,Defensive Midfield,20000000,19,https://www.transfermarkt.com/dario-essugo/profil/spieler/670717,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
73,Antoni Milambo,Feyenoord Rotterdam,Attacking Midfield,20000000,19,https://www.transfermarkt.com/antoni-milambo/profil/spieler/683620,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
74,Matias Fernandez-Pardo,LOSC Lille,Centre-Forward,20000000,19,https://www.transfermarkt.com/matias-fernandez-pardo/profil/spieler/724129,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
75,Jayden Addai,AZ Alkmaar,Right Winger,20000000,19,https://www.transfermarkt.com/jayden-addai/profil/spieler/747720,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
