rank,name,team,position,market_value_eur,age,source_url,list_source_url
77,Endrick,Real Madrid,Centre-Forward,35000000,18,https://www.transfermarkt.com/endrick/profil/spieler/971570,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
78,Evan Ferguson,Brighton & Hove Albion,Centre-Forward,32000000,20,https://www.transfermarkt.com/evan-ferguson/profil/spieler/648046,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
79,António Silva,SL Benfica,Centre-Back,32000000,21,https://www.transfermarkt.com/antonio-silva/profil/spieler/650568,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
80,Bilal El Khannouss,Leicester City,Attacking Midfield,32000000,20,https://www.transfermarkt.com/bilal-el-khannouss/profil/spieler/654982,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
81,Lewis Hall,Newcastle United,Left-Back,32000000,20,https://www.transfermarkt.com/lewis-hall/profil/spieler/670858,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
82,Habib Diarra,RC Strasbourg Alsace,Central Midfield,32000000,20,https://www.transfermarkt.com/habib-diarra/profil/spieler/876631,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
83,Mateus Fernandes,Southampton FC,Central Midfield,32000000,20,https://www.transfermarkt.com/mateus-fernandes/profil/spieler/880245,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
84,Antonio Nusa,RB Leipzig,Left Winger,32000000,19,https://www.transfermarkt.com/antonio-nusa/profil/spieler/894914,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
85,Zeno Debast,Sporting CP,Centre-Back,30000000,21,https://www.transfermarkt.com/zeno-debast/profil/spieler/548193,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
86,Mika Biereth,AS Monaco,Centre-Forward,30000000,21,https://www.transfermarkt.com/mika-biereth/profil/spieler/565821,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
87,Conor Bradley,Liverpool FC,Right-Back,30000000,21,https://www.transfermarkt.com/conor-bradley/profil/spieler/624258,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
88,Marc Casadó,FC Barcelona,Defensive Midfield,30000000,21,https://www.transfermarkt.com/marc-casado/profil/spieler/636695,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
89,Oscar Bobb,Manchester City,Right Winger,30000000,21,https://www.transfermarkt.com/oscar-bobb/profil/spieler/661207,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
90,Yasin Ayari,Brighton & Hove Albion,Central Midfield,30000000,21,https://www.transfermarkt.com/yasin-ayari/profil/spieler/667287,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
91,Petar Sučić,GNK Dinamo Zagreb,Central Midfield,30000000,21,https://www.transfermarkt.com/petar-sucic/profil/spieler/668207,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
92,Alberto Moleiro,UD Las Palmas,Left Winger,30000000,21,https://www.transfermarkt.com/alberto-moleiro/profil/spieler/733576,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
93,Malick Fofana,Olympique Lyon,Left Winger,30000000,19,https://www.transfermarkt.com/malick-fofana/profil/spieler/743386,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
94,Jobe Bellingham,Sunderland AFC,Central Midfield,30000000,19,https://www.transfermarkt.com/jobe-bellingham/profil/spieler/796297,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
95,Alex Scott,AFC Bournemouth,Central Midfield,30000000,21,https://www.transfermarkt.com/alex-scott/profil/spieler/855256,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
96,Kevin,Shakhtar Donetsk,Left Winger,30000000,21,https://www.transfermarkt.com/kevin/profil/spieler/900195,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
97,Lamine Camara,AS Monaco,Central Midfield,30000000,21,https://www.transfermarkt.com/lamine-camara/profil/spieler/918969,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
98,Patrick Dorgu,Manchester United,Left Winger,30000000,20,https://www.transfermarkt.com/patrick-dorgu/profil/spieler/926952,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
99,Victor Froholdt,FC Copenhagen,Central Midfield,30000000,18,https://www.transfermarkt.com/victor-froholdt/profil/spieler/926993,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
100,Johan Manzambi,SC Freiburg,Attacking Midfield,30000000,19,https://www.transfermarkt.com/johan-manzambi/profil/spieler/927353,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
101,Mikel Jauregizar,Athletic Bilbao,Central Midfield,30000000,21,https://www.transfermarkt.com/mikel-jauregizar/profil/spieler/938729,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
102,Vitor Reis,Manchester City,Centre-Back,30000000,18,https://www.transfermarkt.com/vitor-reis/profil/spieler/1005575,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
103,Assane Diao,Como 1907,Left Winger,30000000,19,https://www.transfermarkt.com/assane-diao/profil/spieler/1061282,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
104,Jesús Rodríguez,Real Betis Balompié,Left Winger,30000000,19,https://www.transfermarkt.com/jesus-rodriguez/profil/spieler/1190411,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
105,Emmanuel Emegha,RC Strasbourg Alsace,Centre-Forward,28000000,21,https://www.transfermarkt.com/emmanuel-emegha/profil/spieler/559328,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
106,Brajan Gruda,Brighton & Hove Albion,Attacking Midfield,28000000,20,https://www.transfermarkt.com/brajan-gruda/profil/spieler/700106,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
107,Eliesse Ben Seghir,AS Monaco,Left Winger,28000000,19,https://www.transfermarkt.com/eliesse-ben-seghir/profil/spieler/810895,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
108,Joel Ordóñez,Club Brugge KV,Centre-Back,28000000,20,https://www.transfermarkt.com/joel-ordonez/profil/spieler/893661,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
109,Assan Ouédraogo,RB Leipzig,Central Midfield,28000000,18,https://www.transfermarkt.com/assan-ouedraogo/profil/spieler/897424,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
110,Arthur Vermeeren,RB Leipzig,Defensive Midfield,28000000,19,https://www.transfermarkt.com/arthur-vermeeren/profil/spieler/926694,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
111,Konstantinos Karetsas,KRC Genk,Attacking Midfield,28000000,17,https://www.transfermarkt.com/konstantinos-karetsas/profil/spieler/990148,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
112,El Hadji Malick Diouf,SK Slavia Prague,Left-Back,28000000,20,https://www.transfermarkt.com/el-hadji-malick-diouf/profil/spieler/1111589,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
113,Michael Kayode,Brentford FC,Right-Back,27000000,20,https://www.transfermarkt.com/michael-kayode/profil/spieler/823486,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
114,Carney Chukwuemeka,Borussia Dortmund,Central Midfield,25000000,21,https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
115,Máximo Perrone,Como 1907,Defensive Midfield,25000000,21,https://www.transfermarkt.com/maximo-perrone/profil/spieler/668547,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
116,Konstantinos Koulierakis,VfL Wolfsburg,Centre-Back,25000000,21,https://www.transfermarkt.com/konstantinos-koulierakis/profil/spieler/669380,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
117,Lesley Ugochukwu,Southampton FC,Defensive Midfield,25000000,20,https://www.transfermarkt.com/lesley-ugochukwu/profil/spieler/711999,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
118,Yegor Yarmolyuk,Brentford FC,Central Midfield,25000000,20,https://www.transfermarkt.com/yegor-yarmolyuk/profil/spieler/717411,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
119,Aleksey Batrakov,Lokomotiv Moscow,Attacking Midfield,25000000,19,https://www.transfermarkt.com/aleksey-batrakov/profil/spieler/720286,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
120,Noah Sadiki,Union Saint-Gilloise,Central Midfield,25000000,20,https://www.transfermarkt.com/noah-sadiki/profil/spieler/727089,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
121,Pietro Comuzzo,ACF Fiorentina,Centre-Back,25000000,19,https://www.transfermarkt.com/pietro-comuzzo/profil/spieler/746712,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
122,Renato Veiga,Juventus FC,Centre-Back,25000000,21,https://www.transfermarkt.com/renato-veiga/profil/spieler/805714,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
123,Javi Guerra,Valencia CF,Central Midfield,25000000,21,https://www.transfermarkt.com/javi-guerra/profil/spieler/834764,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
124,Valentín Barco,RC Strasbourg Alsace,Central Midfield,25000000,20,https://www.transfermarkt.com/valentin-barco/profil/spieler/849410,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
125,Lucas Beraldo,Paris Saint-Germain,Centre-Back,25000000,21,https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=5
126,Marco Palestra,Atalanta BC,Right-Back,25000000,19,https://www.transfermarkt.com/marco-palestra/profil/spieler/895937,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
127,Ibrahim Maza,Hertha BSC,Attacking Midfield,25000000,19,https://www.transfermarkt.com/ibrahim-maza/profil/spieler/905011,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
128,Mamadou Sarr,RC Strasbourg Alsace,Centre-Back,25000000,19,https://www.transfermarkt.com/mamadou-sarr/profil/spieler/910905,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
129,Finn Jeltsch,1.FC Nuremberg,Centre-Back,25000000,18,https://www.transfermarkt.com/finn-jeltsch/profil/spieler/924117,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
130,Jean-Mattéo Bahoya,Eintracht Frankfurt,Left Winger,25000000,19,https://www.transfermarkt.com/jean-matteo-bahoya/profil/spieler/939964,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
131,Chris Rigg,Sunderland AFC,Attacking Midfield,25000000,17,https://www.transfermarkt.com/chris-rigg/profil/spieler/947411,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
132,Christos Mouzakitis,Olympiacos Piraeus,Central Midfield,25000000,18,https://www.transfermarkt.com/christos-mouzakitis/profil/spieler/964426,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
133,Diego Gómez,Brighton & Hove Albion,Central Midfield,25000000,21,https://www.transfermarkt.com/diego-gomez/profil/spieler/996897,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
134,Givairo Read,Feyenoord Rotterdam,Right-Back,25000000,18,https://www.transfermarkt.com/givairo-read/profil/spieler/997903,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
135,Rayan,Clube de Regatas Vasco da Gama,Right Winger,25000000,18,https://www.transfermarkt.com/rayan/profil/spieler/1012564,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
136,Charalampos Kostoulas,Olympiacos Piraeus,Centre-Forward,25000000,17,https://www.transfermarkt.com/charalampos-kostoulas/profil/spieler/1060087,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
137,Bazoumana Touré,TSG 1899 Hoffenheim,Left Winger,25000000,18,https://www.transfermarkt.com/bazoumana-toure/profil/spieler/1067904,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
138,Honest Ahanor,Genoa CFC,Centre-Back,25000000,16,https://www.transfermarkt.com/honest-ahanor/profil/spieler/1077175,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
139,Giovanni Leoni,Parma Calcio 1913,Centre-Back,25000000,18,https://www.transfermarkt.com/giovanni-leoni/profil/spieler/1086619,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
140,Ibrahim Mbaye,Paris Saint-Germain,Right Winger,25000000,16,https://www.transfermarkt.com/ibrahim-mbaye/profil/spieler/1185888,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
141,Conrad Harder,Sporting CP,Centre-Forward,24000000,19,https://www.transfermarkt.com/conrad-harder/profil/spieler/807386,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
142,Jack Hinshelwood,Brighton & Hove Albion,Defensive Midfield,24000000,19,https://www.transfermarkt.com/jack-hinshelwood/profil/spieler/867688,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
143,Martin Baturina,GNK Dinamo Zagreb,Attacking Midfield,22000000,21,https://www.transfermarkt.com/martin-baturina/profil/spieler/580451,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
144,Wilfried Gnonto,Leeds United,Right Winger,22000000,21,https://www.transfermarkt.com/wilfried-gnonto/profil/spieler/627626,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
145,Hákon Arnar Haraldsson,LOSC Lille,Attacking Midfield,22000000,21,https://www.transfermarkt.com/hakon-arnar-haraldsson/profil/spieler/652275,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
146,Elye Wahi,Olympique Marseille,Centre-Forward,22000000,21,https://www.transfermarkt.com/elye-wahi/profil/spieler/659542,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
147,Matthis Abline,FC Nantes,Centre-Forward,22000000,21,https://www.transfermarkt.com/matthis-abline/profil/spieler/659543,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
148,Julio Enciso,Brighton & Hove Albion,Attacking Midfield,22000000,20,https://www.transfermarkt.com/julio-enciso/profil/spieler/660867,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
149,Chemsdine Talbi,Club Brugge KV,Right Winger,22000000,19,https://www.transfermarkt.com/chemsdine-talbi/profil/spieler/743384,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
150,Wilson Odobert,Tottenham Hotspur,Left Winger,22000000,20,https://www.transfermarkt.com/wilson-odobert/profil/spieler/743498,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=6
151,Kees Smit,AZ Alkmaar,Attacking Midfield,22000000,18,https://www.transfermarkt.com/kees-smit/profil/spieler/859035,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=7
152,Roger Fernandes,SC Braga,Right Winger,22000000,19,https://www.transfermarkt.com/roger-fernandes/profil/spieler/906329,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=7
