Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Florin Copăcian,TSV Lohr,Fundaș,,,Germania,,https://www.transfermarkt.com/florin-copacian/profil/spieler/938422,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Florin Doroftei,BSG Wismut Gera,Mijlocaș,,,Germania,,https://www.transfermarkt.com/florin-doroftei/profil/spieler/1480129,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Florin Fedor Tariuc,ASD Grifone Calcio,Fundaș central,,30,Italia,,https://www.transfermarkt.com/florin-fedor-tariuc/profil/spieler/407481,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Florin Găman,FC Freya Limbach,Mijlocaș,,33,Germania,,https://www.transfermarkt.com/florin-gaman/profil/spieler/1053817,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Florin Ghițe,Spvg. Solingen-Wald 03 II,Atacant,,21,Germania,,https://www.transfermarkt.com/florin-ghite/profil/spieler/1414225,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Florin Mois,VfB Fabbenstedt,Portar,,,Germania,,https://www.transfermarkt.com/florin-mois/profil/spieler/357240,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Florin Sabau,SV Ruchheim,Mijlocaș,,35,Germania,,https://www.transfermarkt.com/florin-sabau/profil/spieler/1295263,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Florin Stoica,FC Romania,Fundaș central,,34,Anglia,,https://www.transfermarkt.com/florin-stoica/profil/spieler/266168,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Florin Tesedan,SG Eppenbrunn,Mijlocaș ofensiv,,32,Germania,,https://www.transfermarkt.com/florin-tesedan/profil/spieler/968937,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Florin-David Ion,Dersimspor Hamburg,Atacant,,,Germania,Landesliga Hansa,https://www.transfermarkt.com/florin-david-ion/profil/spieler/944361,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Florin-Georgian Mincă,Bulgaria Hamburg,Mijlocaș,,,Germania,,https://www.transfermarkt.com/florin-georgian-minca/profil/spieler/947778,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Florin-Robert Stan,TJ Dalnice Sperice,Atacant,,24,Cehia,,https://www.transfermarkt.com/florin-robert-stan/profil/spieler/1428639,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/172
Florin-Vasile Pomarleanu,SG Frischauf Fulda,Mijlocaș,,,Germania,,https://www.transfermarkt.com/florin-vasile-pomarleanu/profil/spieler/1176028,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Francisc Labai,Tatran Uhrovec,Atacant,,35,Slovacia,,https://www.transfermarkt.com/francisc-labai/profil/spieler/1233738,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/154
Fredi Skurka,SpVgg Hengstfeld-Wallhausen,Mijlocaș central,,51,Germania,,https://www.transfermarkt.com/fredi-skurka/profil/spieler/11443,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
G. Păduraru,USC Paloma Hamburg U17,Mijlocaș central,,16,Germania,,https://www.transfermarkt.com/g-paduraru/profil/spieler/1488159,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Gabriel Alexandrescu,UD Alboraya U19,Mijlocaș,,,Spania,,https://www.transfermarkt.com/gabriel-alexandrescu/profil/spieler/1552954,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Gabriel Boșoi,Lunano Calcio,Fundaș dreapta,,39,Italia,,https://www.transfermarkt.com/gabriel-bosoi/profil/spieler/212790,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Gabriel Broștic,Juventus Under 17,Portar,,16,Italia,Campionato Under 17 - A,https://www.transfermarkt.com/gabriel-brostic/profil/spieler/1339986,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Gabriel Donos,AS Lodigiani Calcio 1972,Mijlocaș stânga,,19,Italia,,https://www.transfermarkt.com/gabriel-donos/profil/spieler/1426436,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
Gabriel Gera,Valencia Mestalla,Mijlocaș central,,19,Spania,Segunda Federación - Grupo III,https://www.transfermarkt.com/gabriel-gera/profil/spieler/1364999,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Gabriel Ghinea,FC Romania,Mijlocaș,,39,Anglia,,https://www.transfermarkt.com/gabriel-ghinea/profil/spieler/48668,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Gabriel Giulian Opriș,FC Dardania Lausanne II,Mijlocaș,,21,Elveția,,https://www.transfermarkt.com/gabriel-giulian-opris/profil/spieler/1265894,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Gabriel Iordache,SuS GW Barkenberg,Portar,,27,Germania,,https://www.transfermarkt.com/gabriel-iordache/profil/spieler/488440,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Gabriel Mendoza,ASD San Luca,Fundaș central,,22,Italia,,https://www.transfermarkt.com/gabriel-mendoza/profil/spieler/1237786,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Gabriel Pipi,Othellos Athienou,Extremă stânga,,21,Cipru,,https://www.transfermarkt.com/gabriel-pipi/profil/spieler/1457973,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/188
Gabriel Repciuc,Juventus Primavera,Mijlocaș dreapta,,17,Italia,Primavera 1,https://www.transfermarkt.com/gabriel-repciuc/profil/spieler/1120615,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Gabriel Sandu, Bellegra 1962,Mijlocaș central,,26,Italia,,https://www.transfermarkt.com/gabriel-sandu/profil/spieler/451365,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Gabriel Simion,SV Kaisersbach,Fundaș central,,35,Germania,,https://www.transfermarkt.com/gabriel-simion/profil/spieler/413680,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Gabriel-Cristian-Dan Nedea,SV Westfalia Soest II,Portar,,,Germania,,https://www.transfermarkt.com/gabriel-cristian-dan-nedea/profil/spieler/1488749,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
George Dumitru,TSV Grünwald,Mijlocaș central,,20,Germania,Landesliga Bayern Südost,https://www.transfermarkt.com/george-dumitru/profil/spieler/897061,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
George Guiman,SC March,Atacant,,,Germania,,https://www.transfermarkt.com/george-guiman/profil/spieler/1287601,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
George Prepeliță,Vicenza Primavera,Mijlocaș central,,18,Italia,Primavera 2 - A,https://www.transfermarkt.com/george-prepelita/profil/spieler/1432490,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
George Vlăsceanu,SG Bunstruth/Haina/Haubern/Löhlbach,Mijlocaș dreapta,,37,Germania,,https://www.transfermarkt.com/george-vlasceanu/profil/spieler/287626,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
George-Costin Iordache,TSV Ottersberg,Portar,,29,Germania,,https://www.transfermarkt.com/george-costin-iordache/profil/spieler/698600,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Georgi Giorgadse,FV Rammersweier,Fundaș,,,Germania,,https://www.transfermarkt.com/georgi-giorgadse/profil/spieler/947989,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Georgian Claudiu Iordache,FC Elmshorn,Fundaș,,26,Germania,Landesliga Hammonia,https://www.transfermarkt.com/georgian-claudiu-iordache/profil/spieler/1287640,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Georgian Tobă,VfR Wenings,Extremă dreapta,,37,Germania,,https://www.transfermarkt.com/georgian-toba/profil/spieler/156901,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Georgian-Armando Simin,FSV Wacker 03 Gotha II,Atacant central,,26,Germania,,https://www.transfermarkt.com/georgian-armando-simin/profil/spieler/537132,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Gheorghe Alexandru Strechie,Offenbacher SC Rosenhöhe,Atacant central,,25,Germania,,https://www.transfermarkt.com/gheorghe-alexandru-strechie/profil/spieler/724980,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Gheorghe Boltașu,SC Danubius Waldkraiburg,Atacant,,,Germania,,https://www.transfermarkt.com/gheorghe-boltasu/profil/spieler/729769,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Gheorghe Goșa,DJK Göggingen,Fundaș central,,45,Germania,,https://www.transfermarkt.com/gheorghe-gosa/profil/spieler/172785,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Gheorghe Meciu,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/gheorghe-meciu/profil/spieler/1110535,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Gheorghe Nitica,SG Schulzendorf,Atacant,,26,Germania,,https://www.transfermarkt.com/gheorghe-nitica/profil/spieler/1296155,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Gheorghe-Cosmin Dragotă,TuS Rüssingen,Portar,,35,Germania,,https://www.transfermarkt.com/gheorghe-cosmin-dragota/profil/spieler/498835,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Gheorghe-Daniel Timofte,SV Alemannia Mariadorf II,Mijlocaș,,28,Germania,,https://www.transfermarkt.com/gheorghe-daniel-timofte/profil/spieler/1169010,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Gheorghe-Dorin Ciobu,FC Germania Neureut,Portar,,,Germania,,https://www.transfermarkt.com/gheorghe-dorin-ciobu/profil/spieler/1571763,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Gheorghiță-Mihai Tănase,Türkgücü Eibensbach,Fundaș,,30,Germania,,https://www.transfermarkt.com/gheorghita-mihai-tanase/profil/spieler/770836,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Giani Bălașa,FC Voran Ohe,Mijlocaș,,34,Germania,Landesliga Hansa,https://www.transfermarkt.com/giani-balasa/profil/spieler/950188,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Giani Mihoc,Union SV Esternberg,Fundaș central,,26,Austria,,https://www.transfermarkt.com/giani-mihoc/profil/spieler/1114112,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Giovanny Popescu,FC Au-Berneck 05,Fundaș central,,26,Elveția,,https://www.transfermarkt.com/giovanny-popescu/profil/spieler/524712,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Grațian Gaudi,TuS Traunreut,Fundaș,,25,Germania,,https://www.transfermarkt.com/gratian-gaudi/profil/spieler/927960,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Gyula Zoltani,SV Wulkaprodersdorf,Portar,,29,Austria,,https://www.transfermarkt.com/gyula-zoltani/profil/spieler/1016814,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Helmut Robert Ötvös,Ahrensburger TSV,Fundaș central,,32,Germania,,https://www.transfermarkt.com/helmut-robert-otvos/profil/spieler/478025,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Horea Mureșan,SG Johanniskirchen/Emmersdorf,Fundaș central,,34,Germania,,https://www.transfermarkt.com/horea-muresan/profil/spieler/285903,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Ianis Avrămescu,Parma Primavera,Extremă dreapta,,17,Italia,Primavera 1,https://www.transfermarkt.com/ianis-avramescu/profil/spieler/1067298,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Ianis Dobrescu,Genoa Under 18,Atacant secund,,18,Italia,Campionato Under 18,https://www.transfermarkt.com/ianis-dobrescu/profil/spieler/1076326,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Ianis Mates,SK Strobl,Mijlocaș,,20,Austria,,https://www.transfermarkt.com/ianis-mates/profil/spieler/1246701,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Ianis Vulpe,FC Paços de Ferreira,Mijlocaș defensiv,,18,Portugalia,Liga 3,https://www.transfermarkt.com/ianis-vulpe/profil/spieler/1552646,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/136
Iannis Niculescu,Levante UD Youth,Fundaș central,,16,Spania,,https://www.transfermarkt.com/iannis-niculescu/profil/spieler/1317219,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Ilie Burlacu,TuS Makkabi Berlin II,Atacant,,,Germania,,https://www.transfermarkt.com/ilie-burlacu/profil/spieler/675988,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Imre Biro,SV Gaflenz,Atacant,,40,Austria,,https://www.transfermarkt.com/imre-biro/profil/spieler/378832,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Ioan Arnau,FC Viktoria Jöhlingen,Fundaș,,,Germania,,https://www.transfermarkt.com/ioan-arnau/profil/spieler/738044,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Ioan Denis Tripon,FC 08 Homburg U19,Mijlocaș central,,17,Germania,,https://www.transfermarkt.com/ioan-denis-tripon/profil/spieler/1452348,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Ioan Doru Paveluca,Türkspor Eppingen,Fundaș,,,Germania,,https://www.transfermarkt.com/ioan-doru-paveluca/profil/spieler/1577710,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Ioan Dumitrașcu,SC Wallerstein,Mijlocaș,,35,Germania,,https://www.transfermarkt.com/ioan-dumitrascu/profil/spieler/609075,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Ioan Maris,TSV Bad Reichenhall,Atacant central,,32,Germania,,https://www.transfermarkt.com/ioan-maris/profil/spieler/241338,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Ioan Perdei,FC Löhne-Gohfeld,Atacant central,,49,Germania,,https://www.transfermarkt.com/ioan-perdei/profil/spieler/2383,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Ioan Precup,CD Roda U19,Mijlocaș defensiv,,17,Spania,,https://www.transfermarkt.com/ioan-precup/profil/spieler/1385387,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Ioan-Vasile Aparascai,TASV Hessigheim,Fundaș central,,22,Germania,,https://www.transfermarkt.com/ioan-vasile-aparascai/profil/spieler/1431604,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Ion Cercel,FC Bad Bellingen II,Fundaș,,,Germania,,https://www.transfermarkt.com/ion-cercel/profil/spieler/1441762,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Ion Cicală,BSC Marzahn,Fundaș,,32,Germania,,https://www.transfermarkt.com/ion-cicala/profil/spieler/1180347,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Ion Paul Fratea,SV Huchenfeld,Fundaș central,,30,Germania,,https://www.transfermarkt.com/ion-paul-fratea/profil/spieler/417779,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Ion Sorin Chitu,FC Au,Portar,,35,Austria,,https://www.transfermarkt.com/ion-sorin-chitu/profil/spieler/176106,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Ion-Daniel Radu,ESV Südstern Singen,Portar,,,Germania,,https://www.transfermarkt.com/ion-daniel-radu/profil/spieler/1193735,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Ionel Tabără,FV Nimburg,Fundaș central,,35,Germania,,https://www.transfermarkt.com/ionel-tabara/profil/spieler/177656,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Ionel-Marius Calin,ESV Südstern Singen,Mijlocaș,,,Germania,,https://www.transfermarkt.com/ionel-marius-calin/profil/spieler/1513980,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Ionut Ciungu,SV Burkheim,Atacant,,32,Germania,,https://www.transfermarkt.com/ionut-ciungu/profil/spieler/1420315,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Ionut Daniel Tuser,Hellas United,Mijlocaș,,,Germania,,https://www.transfermarkt.com/ionut-daniel-tuser/profil/spieler/1290272,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Ionut Durlea,SV St. Gallen,Mijlocaș,,37,Austria,,https://www.transfermarkt.com/ionut-durlea/profil/spieler/329686,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Ionut Ilieș,FC Romania,Fundaș dreapta,,24,Anglia,,https://www.transfermarkt.com/ionut-ilies/profil/spieler/810046,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Ionuț Ana,AS Panazol B ,Portar,,20,Franța,,https://www.transfermarkt.com/ionut-ana/profil/spieler/1425580,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/50
Ionuț Badea,SV Vatan Spor Aschaffenburg,Mijlocaș ofensiv,,24,Germania,Landesliga Bayern Nordwest,https://www.transfermarkt.com/ionut-badea/profil/spieler/1157926,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Ionuț Bereșoae,Cradley Town FC,Mijlocaș,,36,Anglia,,https://www.transfermarkt.com/ionut-beresoae/profil/spieler/212787,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Ionuț Bîrzoi,SV Deutz 05,Mijlocaș,,20,Germania,Landesliga Mittelrhein Staffel 1,https://www.transfermarkt.com/ionut-birzoi/profil/spieler/1448503,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Ionuț Daniel Busuioc,VfB Uerdingen,Atacant,,,Germania,,https://www.transfermarkt.com/ionut-daniel-busuioc/profil/spieler/649338,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Ionuț Geoacăș,VfB Grün-Weiß Erfurt,Portar,,37,Germania,,https://www.transfermarkt.com/ionut-geoacas/profil/spieler/544366,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Ionuț Jugaru,FC Romania,Mijlocaș central,,32,Anglia,,https://www.transfermarkt.com/ionut-jugaru/profil/spieler/262124,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Ionuţ Lupu,SV Treptow 46,Mijlocaș,,,Germania,,https://www.transfermarkt.com/ionut-lupu/profil/spieler/1302778,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Ionuț Macovei,ASD Bibione,Atacant,,29,Italia,,https://www.transfermarkt.com/ionut-macovei/profil/spieler/321834,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Ionuț Micu,CD Utiel,Portar,,29,Spania,,https://www.transfermarkt.com/ionut-micu/profil/spieler/537128,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Ionuț Nae,FC Speranta Crihana Veche,Fundaș central,,39,Republica Moldova,,https://www.transfermarkt.com/ionut-nae/profil/spieler/208058,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/112
Ionuț Oprea,Afríka Reykjavík,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/ionut-oprea/profil/spieler/887342,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Ionuț Orza,Ercsi KSE,Atacant,,30,Ungaria,,https://www.transfermarkt.com/ionut-orza/profil/spieler/545313,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Ionuț Plăcintă,SV Fuhrberg,Portar,,,Germania,,https://www.transfermarkt.com/ionut-placinta/profil/spieler/598532,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Ionuț-Marian Munteanu,TV Gräfenhausen,Fundaș,,31,Germania,,https://www.transfermarkt.com/ionut-marian-munteanu/profil/spieler/942887,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Ionuț-Marius Albu,Club-Italia Berlin AdW,Mijlocaș,,41,Germania,,https://www.transfermarkt.com/ionut-marius-albu/profil/spieler/695050,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Ionuț-Nicușor Popescu,TSV Uetersen,Atacant,,,Germania,,https://www.transfermarkt.com/ionut-nicusor-popescu/profil/spieler/713495,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Iosif Răcean,SC Eintracht Freising,Fundaș central,,20,Germania,,https://www.transfermarkt.com/iosif-racean/profil/spieler/1192513,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Iosif Tulbure,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/iosif-tulbure/profil/spieler/1110536,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Iosif-Bogdan-Alexandru Muntean,SC 04 Tuttlingen,Mijlocaș,,,Germania,,https://www.transfermarkt.com/iosif-bogdan-alexandru-muntean/profil/spieler/1431156,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Iulian Carabela,Dobrudzha,Fundaș stânga,,30,Bulgaria,Vtora Liga,https://www.transfermarkt.com/iulian-carabela/profil/spieler/451567,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/28
Iulian Coroamă,FCD Atletico Montalbano,Atacant central,,22,Italia,,https://www.transfermarkt.com/iulian-coroama/profil/spieler/1006422,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Iulian Nicolae Ciustea,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/iulian-nicolae-ciustea/profil/spieler/991825,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Iulian Stanc,SC Danubius Waldkraiburg,Portar,,,Germania,,https://www.transfermarkt.com/iulian-stanc/profil/spieler/729720,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Iustin Mateș,SK Strobl,Mijlocaș,,23,Austria,,https://www.transfermarkt.com/iustin-mates/profil/spieler/1422092,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Iustin-Cezar Folea,VfL Nagold,Fundaș,,20,Germania,,https://www.transfermarkt.com/iustin-cezar-folea/profil/spieler/1523790,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Jan-Tiberius Vintilă,SV Wersten 04,Mijlocaș,,25,Germania,,https://www.transfermarkt.com/jan-tiberius-vintila/profil/spieler/794806,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Julian Mocanu,SV Bad Schallerbach,Mijlocaș,,22,Austria,Regionalliga Nord,https://www.transfermarkt.com/julian-mocanu/profil/spieler/1570048,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/4
Julian Zavate,SV Wacker Burghausen U19,Portar,,17,Germania,,https://www.transfermarkt.com/julian-zavate/profil/spieler/1498312,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Justin Schulz,SV Viktoria Wertheim,Mijlocaș dreapta,,28,Germania,,https://www.transfermarkt.com/justin-schulz/profil/spieler/989534,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Kalman-Robert Ilyes,FC Mariensiel,Mijlocaș,,27,Germania,,https://www.transfermarkt.com/kalman-robert-ilyes/profil/spieler/1064522,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Karim Catana,SPG Brixlegg/Rattenberg/Reith,Mijlocaș,,25,Austria,,https://www.transfermarkt.com/karim-catana/profil/spieler/694693,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Kevin Burkutean,SV Lengede,Mijlocaș,,,Germania,,https://www.transfermarkt.com/kevin-burkutean/profil/spieler/398226,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Kevin Fogoros,USC Markersdorf,Fundaș,,30,Austria,,https://www.transfermarkt.com/kevin-fogoros/profil/spieler/1148199,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Kevin Popovici,Union Dietach,Mijlocaș,,19,Austria,Regionalliga Nord,https://www.transfermarkt.com/kevin-popovici/profil/spieler/1192946,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Kevin Wadman,Queens Park Rangers Academy,Atacant central,,16,Anglia,,https://www.transfermarkt.com/kevin-wadman/profil/spieler/1375847,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Kristijan Nikolic,DSG DSV Eventus Wien,Mijlocaș ofensiv,,26,Austria,,https://www.transfermarkt.com/kristijan-nikolic/profil/spieler/1328030,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Krisztian Gagyi,Louth Town,Fundaș dreapta,,21,Anglia,,https://www.transfermarkt.com/krisztian-gagyi/profil/spieler/1242062,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
