Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Andrei Chindriș,Lokomotiv Plovdiv,Fundaș central,300000,27,Bulgaria,efbet Liga,https://www.transfermarkt.com/andrei-chindris/profil/spieler/435731,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/28
Francesco Domniței,Milan Futuro,Atacant central,300000,18,Italia,Serie D - Girone B,https://www.transfermarkt.com/francesco-domnitei/profil/spieler/1185981,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Grigore Turda,FK Zalgiris Vilnius,Fundaș central,300000,29,Lituania,Toplyga,https://www.transfermarkt.com/grigore-turda/profil/spieler/451328,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/98
Mihai Butean,FK Vojvodina Novi Sad,Fundaș dreapta,300000,29,Serbia,Super liga Srbije,https://www.transfermarkt.com/mihai-butean/profil/spieler/375712,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/215
Radu Boboc,Bruk-Bet Termalica Nieciecza,Mijlocaș dreapta,300000,27,Polonia,Betclic 1 Liga,https://www.transfermarkt.com/radu-boboc/profil/spieler/319202,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/135
Antonio David,Cesena FC,Fundaș stânga,275000,22,Italia,Serie B,https://www.transfermarkt.com/antonio-david/profil/spieler/929688,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Darius Oroian,NS Mura,Fundaș dreapta,250000,23,Slovenia,Prva Liga,https://www.transfermarkt.com/darius-oroian/profil/spieler/798249,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/155
Denis Hergheligiu,FC Vado,Mijlocaș central,250000,26,Italia,Serie C - Girone B,https://www.transfermarkt.com/denis-hergheligiu/profil/spieler/392961,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Filip Oprea,Åsane Fotball,Fundaș stânga,250000,20,Norvegia,OBOS-ligaen,https://www.transfermarkt.com/filip-oprea/profil/spieler/1062212,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/125
Ionuț Cojocaru,Sliema Wanderers,Extremă stânga,250000,23,Malta,Premier League Opening Round,https://www.transfermarkt.com/ionut-cojocaru/profil/spieler/901511,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/106
Sebastian Mladen,Athens Kallithea,Fundaș central,250000,34,Grecia,Super League 2,https://www.transfermarkt.com/sebastian-mladen/profil/spieler/96790,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/56
Bogdan Țîru,Cultural Leonesa,Fundaș central,200000,32,Spania,Primera Federación - Grupo I,https://www.transfermarkt.com/bogdan-tiru/profil/spieler/186744,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Deian Boldor,Kispest–Honvéd FC,Fundaș central,200000,31,Ungaria,Nemzeti Bajnokság,https://www.transfermarkt.com/deian-boldor/profil/spieler/239570,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Francesco Șerban,SS Arezzo,Portar,200000,18,Italia,Serie B,https://www.transfermarkt.com/francesco-serban/profil/spieler/1477745,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Mihai Gușu,UC AlbinoLeffe,Mijlocaș dreapta,200000,29,Italia,Serie C - Girone A,https://www.transfermarkt.com/mihai-gusu/profil/spieler/329309,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Paul Anton,ETO FC,Mijlocaș central,200000,35,Ungaria,Nemzeti Bajnokság,https://www.transfermarkt.com/paul-anton/profil/spieler/123286,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Darian Hrom,ASD Chisola Calcio,Atacant central,175000,22,Italia,Serie D - Girone A,https://www.transfermarkt.com/darian-hrom/profil/spieler/1182590,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Alexandru Borbei,US Lecce,Portar,150000,23,Italia,Serie A,https://www.transfermarkt.com/alexandru-borbei/profil/spieler/667640,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Darius Fustos,Real Ávila CF,Atacant central,150000,23,Spania,Segunda Federación - Grupo V,https://www.transfermarkt.com/darius-fustos/profil/spieler/1048582,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Emanuel Marincău,1.FSV Mainz 05 II,Fundaș central,150000,20,Germania,Regionalliga Südwest,https://www.transfermarkt.com/emanuel-marincau/profil/spieler/926931,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Jose-Andrei Rostas,SV Kapfenberg,Atacant central,150000,18,Austria,2. Liga,https://www.transfermarkt.com/jose-andrei-rostas/profil/spieler/1286749,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Marco Rus,Ayr United FC,Mijlocaș stânga,150000,23,Scoția,Scottish Championship,https://www.transfermarkt.com/marco-rus/profil/spieler/666467,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/190
Nandor Tamas,KFC Komarno,Extremă dreapta,150000,25,Slovacia,Niké Liga,https://www.transfermarkt.com/nandor-tamas/profil/spieler/535468,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/154
Alessio Marcu,US Grosseto 1912,Portar,125000,19,Italia,Serie C - Girone B,https://www.transfermarkt.com/alessio-marcu/profil/spieler/1124103,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Áron Girsik,Karcagi SC,Extremă stânga,125000,25,Ungaria,Nemzeti Bajnokság II.,https://www.transfermarkt.com/aron-girsik/profil/spieler/675507,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Bogdan Stăuciuc,FC Crotone,Atacant central,125000,24,Italia,Serie C - Girone C,https://www.transfermarkt.com/bogdan-stauciuc/profil/spieler/710337,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Gabriel Bugli,Atalanta U23,Portar,125000,18,Italia,Serie C - Girone B,https://www.transfermarkt.com/gabriel-bugli/profil/spieler/1170822,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
